delivered,no_of_elements,seen,clicked,percentage_seen,percentage_clicked,percentage_clicked_vs_seen,msg_ms_nhon,msg_ms_dung,conv_ms_nhon,conv_ms_dung,action_download_sticker,lbs,age
1,235032,0.3871303,0.01792096,38.71303,1.792096,4.629182,34.82692,248.5648,1.888636,12.83446,0.1862768,0.8845689,25.86731
2,104568,0.7916858,0.0678219,39.58429,3.391095,8.566769,104.4848,362.1569,4.859302,16.80867,0.2877697,1.325147,22.73391
3,127062,1.008815,0.07819017,33.62715,2.606339,7.750698,163.4999,377.9679,7.152213,17.04357,0.2619981,0.8569753,23.26617
4,72252,1.39812,0.1118585,34.95301,2.796462,8.000634,259.3627,449.1097,10.84967,19.71063,0.3251329,1.275093,21.75595
5,57819,1.687214,0.1217074,33.74427,2.434148,7.213515,342.9513,472.7734,14.03056,20.46375,0.3364292,1.223893,21.66282
6,42756,1.932688,0.1373842,32.21146,2.289737,7.108454,427.5321,491.9522,17.50856,21.32383,0.347191,1.225512,20.97549
7,33061,2.183419,0.15178,31.19169,2.168286,6.951486,521.6818,510.9392,21.03347,21.89722,0.3482351,1.214777,20.86127
8,25726,2.394387,0.164153,29.92984,2.051912,6.855742,605.1113,523.5507,24.43738,22.24988,0.3781194,1.230176,20.7713
9,20353,2.653712,0.1787943,29.48569,1.986603,6.737516,697.2176,531.9267,27.90375,23.24892,0.3773154,1.288373,20.74403
10,16216,2.815799,0.1903675,28.15799,1.903675,6.760693,801.1256,550.5875,31.37605,23.63949,0.3956278,1.292366,20.65995
11,13048,3.081392,0.2141324,28.01265,1.946658,6.949212,869.4368,544.4467,35.21118,24.04047,0.4122854,1.282036,20.65735
12,10709,3.197404,0.2189747,26.64503,1.824789,6.848515,961.4435,559.8987,38.39857,24.11775,0.4249697,1.320548,20.62314
13,8528,3.354362,0.2229128,25.80279,1.714714,6.645459,1113.13,591.4846,42.58877,25.04092,0.3990385,1.289165,20.2922
14,7013,3.538571,0.2245829,25.27551,1.604164,6.346712,1160.043,567.8838,46.22601,24.43655,0.4373307,1.296984,20.34763
15,5679,3.701356,0.2385983,24.67571,1.590656,6.446242,1284.94,582.0942,49.94528,25.12388,0.4263955,1.360143,20.30369
16,4772,3.859598,0.2489522,24.12249,1.555951,6.450212,1359.224,594.1013,54.48942,25.82151,0.4647946,1.372276,20.36493
17,3894,3.957114,0.2688752,23.27714,1.581619,6.79473,1481.917,607.9213,57.6813,25.26682,0.4667437,1.387648,20.27856
